crop_code,Main_use_aggregated,Detailed_use_aggregated,Used_part_aggregated
4344,"environmental, fuels, material","charcoal, fuelwood, ornamental/turf, timber wood, windbreak","bark, entire plant"
4345,environmental,shade & shelter,entire plant
4346,"environmental, fuels, material","dye/tannin, fuelwood, nitrogen fixation, shade & shelter","bark, entire plant, roots, stems"
4347,"animal food (feed), environmental, material","minerals, ornamental/turf, shade & shelter, timber wood",Unspecified
4348,"fuels, material","fuelwood, timber wood",bark
4349,"environmental, medicinal, poison","immune system applications, mammals, nervous system applications, ornamental/turf","entire plant, fruits, roots, stems"
4352,"environmental, material","ornamental/turf, timber wood","bark, entire plant"
4363,"environmental, material","ornamental/turf, timber wood","bark, entire plant"
4387,animal food (feed),"minerals, vitamins",entire plant
4393,"animal food (feed), environmental","erosion control, minerals, vitamins",entire plant
4395,animal food (feed),"minerals, vitamins",entire plant
4398,"environmental, food & beverage, medicinal","digestive system applications, immune system applications, muscular/skeletal applications, ornamental/turf, respiratory applications, vitamins","entire plant, flowers, seedlings"
43996,"animal food (feed), environmental","manure/fertilizer, protein, vitamins",entire plant
4400,"material, medicinal","digestive system applications, dye/tannin, immune system applications, skin applications","flowers, roots"
44088,"animal food (feed), fuels, material, medicinal","digestive system applications, fuelwood, genitourinary system applications, minerals, protein, respiratory applications, timber wood, vitamins","bark, fruits, leaves, roots"
4409,animal food (feed),"minerals, vitamins",entire plant
4410,"animal food (feed), environmental","cover crop, minerals, vitamins",entire plant
44104,"animal food (feed), environmental, fuels, poison","erosion control, fuelwood, living fence, mammals, minerals, mulch, nitrogen fixation, ornamental/turf, protein, vitamins","bark, entire plant, leaves, roots"
4411,animal food (feed),"minerals, vitamins",entire plant
4413,animal food (feed),"minerals, vitamins",entire plant
4414,food & beverage,"minerals, vitamins",roots
4426,"animal food (feed), environmental, food & beverage, food additive, fuels, material, medicinal","agroforestry, charcoal, condiment/seasoning, cosmetics & perfumery, digestive system applications, dye/tannin, emulsifier, fuelwood, gums/resins, minerals, ornamental/turf, paper, protein, shade & shelter, skin applications, stabiliser, timber wood, vitamins","bark, entire plant, fruits, seeds"
44268,animal food (feed),"protein, vitamins",entire plant
4427,"environmental, material","ornamental/turf, timber wood","bark, entire plant"
443,"environmental, food & beverage, material","minerals, ornamental/turf, protein, timber wood","bark, entire plant, seeds"
4434,"fuels, material, medicinal","charcoal, dye/tannin, fuelwood, timber wood, Unspecified",bark
4435,"food & beverage, fuels, material, medicinal","charcoal, dye/tannin, fuelwood, minerals, timber wood, Unspecified, vitamins","bark, fruits, leaves, seeds, stems"
4465,food & beverage,"minerals, vitamins",flowers
4466,"environmental, food & beverage","minerals, ornamental/turf, vitamins","entire plant, flowers"
4469,"environmental, material","erosion control, fibres, ornamental/turf","entire plant, leaves"
4479,"environmental, medicinal, poison","blood system applications, digestive system applications, mammals, ornamental/turf","entire plant, leaves"
4480,"medicinal, poison","digestive system applications, endocrine system applications, immune system applications, mammals, muscular/skeletal applications, nervous system applications, respiratory applications, skin applications",entire plant
4481,"animal food (feed), food & beverage, material, medicinal, poison","dye/tannin, mammals, minerals, Unspecified, vitamins","entire plant, leaves, seeds, Unspecified"
4483,material,lipids/oil & fats,seeds
4485,"food & beverage, medicinal","digestive system applications, skin applications, vitamins","entire plant, flowers, leaves"
44868,"environmental, fuels, material","agroforestry, charcoal, essential oils, fuelwood, manure/fertilizer, ornamental/turf, shade & shelter, timber wood, windbreak","bark, entire plant, leaves, seeds"
449,"environmental, food & beverage, food additive, medicinal","agroforestry, condiment/seasoning, minerals, ornamental/turf, Unspecified","entire plant, seeds"
4494,"animal food (feed), environmental, food & beverage","minerals, protein, soil improvers, vitamins","bark, entire plant, fruits, seeds"
4509,"food & beverage, material, medicinal, poison","digestive system applications, fibres, genitourinary system applications, immune system applications, lipids, lipids/oil & fats, mammals, muscular/skeletal applications, nervous system applications, skin applications, vitamins","leaves, roots"
4510,"material, medicinal","timber wood, Unspecified","bark, leaves, stems"
4516,material,timber wood,bark
45195,"animal food (feed), environmental, fuels, material, medicinal","agroforestry, charcoal, digestive system applications, dye/tannin, erosion control, fuelwood, minerals, ornamental/turf, respiratory applications, sensory applications, shade & shelter, timber wood, vitamins, windbreak","bark, entire plant, leaves, roots, stems"
4523,poison,insects,flowers
4524,"environmental, food & beverage, medicinal","agroforestry, minerals, ornamental/turf, Unspecified, vitamins","entire plant, flowers, leaves, seedlings"
4528,"environmental, food & beverage, medicinal","immune system applications, minerals, muscular/skeletal applications, ornamental/turf, respiratory applications, skin applications, vitamins","entire plant, flowers, seedlings"
45286,"environmental, food & beverage, fuels, material, medicinal, poison","charcoal, digestive system applications, essential oils, fuelwood, genitourinary system applications, lipids/oil & fats, mammals, minerals, muscular/skeletal applications, ornamental/turf, respiratory applications, sensory applications, vitamins","bark, entire plant, flowers, leaves, roots, seeds, stems"
4531,"food additive, material, medicinal","aromatics, blood system applications, condiment/seasoning, cosmetics & perfumery, digestive system applications, nervous system applications, skin applications","entire plant, flowers, leaves, shoots"
